@relation csv.txt

@attribute 3 numeric
@attribute 0.844862460.09526136 {0.93120360.025891548,0.90377590.021494871,NaN0.08939912,0.89464640.010258916,0.894629360.017098192,0.91423030.016609672,0.81194070.019540792,0.831614730.028334148,0.910089850.018563751,0.89519960.004885198,0.80071350.028334148,0.80139120.06497313,0.835845950.032242306,0.89983970.028822668,0.89832750.020517832,0.934318240.042012703,0.910032150.007327797,0.915049250.006839277,0.90159440.02296043,0.91614570.015632633,0.904067460.11529067,0.89745760.007816317,0.880805130.004396678,0.85105510.017586712,0.846064270.009770396,0.9030350.017098192,0.90843550.0058622374}
@attribute 0 numeric
@attribute 9037.246 numeric
@attribute Music {Music,Speech}

@data
29,0.93120360.025891548,1,5118.66,Music
25,0.90377590.021494871,0,3443.6516,Music
0,NaN0.08939912,6,6769.3105,Music
12,0.89464640.010258916,0,3628.844,Music
16,0.894629360.017098192,0,4265.151,Music
14,0.91423030.016609672,0,5384.518,Music
3,0.81194070.019540792,0,4699.472,Music
2,0.831614730.028334148,0,4783.2485,Music
22,0.910089850.018563751,3,5148.173,Music
20,0.89519960.004885198,0,5083.785,Music
1,0.80071350.028334148,8,4844.8833,Music
1,0.80139120.06497313,0,7150.4106,Music
2,0.835845950.032242306,0,5546.0967,Music
17,0.89983970.028822668,14,6738.2886,Speech
12,0.89832750.020517832,5,3136.7024,Speech
17,0.934318240.042012703,13,5263.924,Speech
17,0.910032150.007327797,1,5936.422,Speech
15,0.915049250.006839277,4,3010.477,Speech
8,0.90159440.02296043,5,3906.3806,Speech
11,0.91614570.015632633,12,5364.2153,Speech
9,0.904067460.11529067,14,5847.6885,Speech
8,0.89745760.007816317,4,3323.9927,Speech
15,0.880805130.004396678,6,6579.0913,Speech
7,0.85105510.017586712,13,2974.601,Speech
7,0.846064270.009770396,3,4119.33,Speech
16,0.9030350.017098192,0,2491.652,Speech
14,0.90843550.0058622374,4,2758.3489,Speech
